ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED
22,mistral-small,2024-September-02 10:44:55,2024-September-02 10:44:59,0.817260504,2.76520586,3.582468033,5,563,67,1.917567968,100.00%,FALSE
23,mistral-small,2024-September-02 10:45:04,2024-September-02 10:45:08,0.984233618,2.768428802,3.752663612,5,563,67,1.359363317,100.00%,FALSE
24,mistral-small,2024-September-02 10:45:13,2024-September-02 10:45:17,1.066611767,2.97031045,4.036923409,5,563,67,1.223478317,100.00%,FALSE
25,mistral-small,2024-September-02 10:45:22,2024-September-02 10:45:26,0.994481087,2.70048666,3.694969177,5,563,67,1.320049286,100.00%,FALSE
26,mistral-small,2024-September-02 10:45:31,2024-September-02 10:45:35,0.922261715,2.992244959,3.914507627,5,563,67,1.117260933,100.00%,FALSE
27,mistral-small,2024-September-02 10:45:39,2024-September-02 10:45:43,1.095044613,2.897129297,3.992175102,5,563,67,1.187350273,100.00%,FALSE
28,mistral-small,2024-September-02 10:45:48,2024-September-02 10:45:52,0.977348328,2.642335892,3.619685411,5,563,67,1.141839027,100.00%,FALSE
29,mistral-small,2024-September-02 10:45:56,2024-September-02 10:46:00,0.926610947,2.768032074,3.694644451,5,563,67,1.298666716,100.00%,FALSE
30,mistral-small,2024-September-02 10:46:05,2024-September-02 10:46:09,1.165733576,2.722238302,3.887972832,5,563,67,1.230763435,100.00%,FALSE
31,gemini-1.5-flash,2024-September-02 10:47:53,2024-September-02 10:47:57,0.77273488,2.849208593,3.621944666,5,563,77,1.234544516,100.00%,FALSE
32,gemini-1.5-flash,2024-September-02 10:48:02,2024-September-02 10:48:03,1,0,1,5,563,0,1.14750123,0,TRUE
33,gemini-1.5-flash,2024-September-02 10:48:08,2024-September-02 10:48:11,0.777064085,2.641259909,3.418324709,5,563,67,1.107131004,100.00%,FALSE
34,gemini-1.5-flash,2024-September-02 10:48:16,2024-September-02 10:48:20,0.651729584,2.649897337,3.301627636,5,563,67,1.088224888,100.00%,FALSE
35,gemini-1.5-flash,2024-September-02 10:48:24,2024-September-02 10:48:25,1,0,1,5,563,0,1.163931608,0,TRUE
36,gemini-1.5-flash,2024-September-02 10:48:30,2024-September-02 10:48:34,0.802071095,2.781201839,3.583273888,5,563,67,1.201519966,100.00%,FALSE
37,gemini-1.5-flash,2024-September-02 10:48:38,2024-September-02 10:48:43,0.974771261,3.34686017,4.321632624,5,563,77,1.29720974,100.00%,FALSE
