ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
103,gemini-1.5-flash,2024-September-02 11:56:11,2024-September-02 11:56:16,1.700984478,3.163511515,4.864496946,20,570,221,0,1.21393466,100.0%,false,None,
104,gemini-1.5-flash,2024-September-02 11:56:21,2024-September-02 11:56:26,1.607875347,2.705767393,4.313643932,20,570,220,0,1.081825972,100.0%,false,None,
105,gemini-1.5-flash,2024-September-02 11:56:30,2024-September-02 11:56:32,0,0,0,20,0,0,0,1.1567173,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
106,gemini-1.5-flash,2024-September-02 11:56:37,2024-September-02 11:56:38,0,0,0,20,0,0,0,1.136936903,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
107,gemini-1.5-flash,2024-September-02 11:56:43,2024-September-02 11:56:44,0,0,0,20,0,0,0,1.126417637,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
108,gemini-1.5-flash,2024-September-02 11:59:10,2024-September-02 11:59:12,0,0,0,20,0,0,0,1.135436058,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
109,gemini-1.5-flash,2024-September-02 11:59:16,2024-September-02 11:59:21,1.959048986,2.923977375,4.883027792,20,570,208,0,1.055790424,100.0%,false,None,
110,gemini-1.5-flash,2024-September-02 11:59:26,2024-September-02 11:59:30,1.664015293,2.90363574,4.567652225,20,570,221,0,1.198653936,100.0%,false,None,
111,gemini-1.5-flash,2024-September-02 11:59:35,2024-September-02 11:59:37,0,0,0,20,0,0,0,1.225427389,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
112,gemini-1.5-flash,2024-September-02 11:59:42,2024-September-02 11:59:44,0,0,0,20,0,0,0,1.172347784,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
