ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS
1,mistral-small,advancements,2024-September-02 18:13:58,2024-September-02 18:14:08,3.087082863,2.988587379,6.075671673,20,626,895,2.67718482,100.00%
2,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:02:08,2024-September-02 18:02:16,1.082751274,3.075085402,4.157837391,5,530,229,3.357378483,100.00%
3,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:02:19,2024-September-02 18:02:27,1.390145302,3.004716635,4.394862652,5,530,311,3.10002327,100.00%
4,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:02:30,2024-September-02 18:02:38,1.236360788,2.890019178,4.12638092,5,530,299,3.019543886,100.00%
5,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:02:41,2024-September-02 18:02:49,1.23442626,3.014904499,4.249331951,5,530,287,2.830571413,100.00%
6,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:02:52,2024-September-02 18:03:00,1.166522026,3.092658281,4.259182215,5,530,238,3.039988518,100.00%
7,gpt-3.5-turbo,advancements,2024-September-02 18:05:01,2024-September-02 18:05:10,2.402423859,2.955780745,5.358205557,5,625,693,2.347793341,100.00%
8,gpt-3.5-turbo,advancements,2024-September-02 18:05:13,2024-September-02 18:05:22,2.248350382,3.133600473,5.381952286,5,625,610,2.501483917,100.00%
9,gpt-3.5-turbo,advancements,2024-September-02 18:05:24,2024-September-02 18:05:33,2.525502682,3.04131341,5.566817045,5,625,776,2.534981251,100.00%
10,gpt-3.5-turbo,advancements,2024-September-02 18:05:36,2024-September-02 18:05:45,2.429197788,2.869452238,5.298650742,5,625,823,2.523923635,100.00%
11,gpt-3.5-turbo,advancements,2024-September-02 18:05:48,2024-September-02 18:05:56,1.702288151,3.106672764,4.808961868,5,625,527,2.345908642,100.00%
12,gpt-4,hyperloop_specifications,2024-September-02 18:06:24,2024-September-02 18:06:35,3.369731188,3.048574686,6.418307066,5,530,237,2.994248629,100.00%
13,gpt-4,hyperloop_specifications,2024-September-02 18:06:38,2024-September-02 18:06:48,3.38910675,2.775973558,6.165081739,5,530,264,3.252656221,100.00%
14,gpt-4,hyperloop_specifications,2024-September-02 18:06:51,2024-September-02 18:07:00,3.174365044,2.896180391,6.070546389,5,530,322,2.808228731,100.00%
15,mistral-small,hyperloop_specifications,2024-September-02 18:07:03,2024-September-02 18:07:10,1.135239363,2.723161697,3.858402014,5,530,281,2.69895792,100.00%
16,gpt-4,hyperloop_specifications,2024-September-02 18:07:03,2024-September-02 18:07:13,3.619706869,2.797921658,6.417629242,5,530,311,2.784428596,100.00%
17,mistral-small,hyperloop_specifications,2024-September-02 18:07:13,2024-September-02 18:07:21,0.991760731,2.807833672,3.799595594,5,530,218,3.068186522,100.00%
18,gpt-4,hyperloop_specifications,2024-September-02 18:07:16,2024-September-02 18:07:26,3.785399675,2.966520309,6.751921177,5,530,231,2.893443584,100.00%
19,mistral-small,hyperloop_specifications,2024-September-02 18:07:23,2024-September-02 18:07:31,1.097828388,2.966729403,4.064558506,5,530,275,2.795606136,100.00%
20,mistral-small,hyperloop_specifications,2024-September-02 18:07:34,2024-September-02 18:07:42,1.765958786,2.902000666,4.667960882,5,530,318,2.849387646,100.00%
