ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
148,mistral-small,2024-September-02 08:43:02,2024-September-02 08:43:08,0,0,6.508991957,50,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
149,mistral-small,2024-September-02 08:43:21,2024-September-02 08:43:30,5.657668352,2.869071007,9.408336163,50,50,1369,593,866,100.0%,false,None,
150,mistral-small,2024-September-02 08:43:42,2024-September-02 08:43:54,7.695215702,3.151848555,11.786841393,50,50,1360,796,1019,76.0%,false,None,
151,mistral-small,2024-September-02 08:44:02,2024-September-02 08:44:13,6.932195902,2.96318388,10.73470068,50,50,1371,722,1019,30.0%,false,None,
152,gemini-1.5-flash,2024-September-02 08:44:52,2024-September-02 08:44:59,3.299023628,2.816300631,7.009420633,50,50,1364,542,866,84.0%,false,None,
153,gemini-1.5-flash,2024-September-02 08:45:08,2024-September-02 08:45:15,2.750230551,2.896357536,6.470970392,50,50,1364,481,866,84.0%,false,None,
154,gemini-1.5-flash,2024-September-02 08:45:22,2024-September-02 08:45:26,0,0,4.373054743,50,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
155,gemini-1.5-flash,2024-September-02 08:45:36,2024-September-02 08:45:40,0,0,4.027254105,50,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
156,gemini-1.5-flash,2024-September-02 08:45:52,2024-September-02 08:46:02,6.270439863,2.898203373,10.084080696,50,50,1363,585,866,100.0%,false,None,
157,gemini-1.5-flash,2024-September-02 08:46:12,2024-September-02 08:46:19,3.340393543,2.866569042,7.089179277,50,50,1363,588,866,100.0%,false,None,
158,gemini-1.5-flash,2024-September-02 08:46:30,2024-September-02 08:46:37,3.292513132,2.812216043,7.090524197,50,50,1361,584,866,100.0%,false,None,
